Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/111674-ufc-fight-night,UFC Fight Night,"Saturday, September 28, 12:00 PM ET",Accor Arena,"Paris, IDF"
https://www.tapology.com/fightcenter/events/110826-ufc-306,UFC 306,"Saturday, September 14,  6:00 PM ET",The Sphere,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/111167-ufc-fight-night,UFC Fight Night,"Saturday, August 03, 10:00 AM ET",Etihad Arena,"Abu Dhabi, AE"
https://www.tapology.com/fightcenter/events/111798-ufc-fight-night,UFC Fight Night,"Saturday, July 13,  6:00 PM ET",,
https://www.tapology.com/fightcenter/events/109011-ufc,UFC 303,"Saturday, June 29,  6:00 PM ET",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/109963-ufc-fight-night,UFC Fight Night,"Saturday, June 22, 10:00 AM ET",Kingdom Arena,"Riyadh, Riyadh Province"
https://www.tapology.com/fightcenter/events/111669-ufc-fight-night,UFC Fight Night,"Saturday, June 15,  6:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/111458-ufc-fight-night,UFC Fight Night,"Saturday, June 08,  6:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/110366-ufc-302,UFC 302,"Saturday, June 01,  6:00 PM ET",,
https://www.tapology.com/fightcenter/events/110359-ufc-fight-night,UFC Fight Night: Barboza vs. Murphy,"Saturday, May 18,  6:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/110365-ufc-fight-night,UFC Fight Night,"Saturday, May 11,  6:00 PM ET",Enterprise Center,"St. Louis, MO"
https://www.tapology.com/fightcenter/events/109604-ufc-fight-night,UFC 301: Pantoja vs. Erceg,"Saturday, May 04,  6:00 PM ET",Jeunesse Arena,"Rio, RJ"
https://www.tapology.com/fightcenter/events/109627-ufc-fight-night,UFC Fight Night: Nicolau vs. Kape 2,"Saturday, April 27,  6:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/108579-ufc-300,UFC 300: Pereira vs. Hill,"Saturday, April 13,  6:00 PM ET",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/108721-ufc-fight-night,UFC Fight Night: Allen vs. Curtis 2,"Saturday, April 06,  6:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/107896-ufc-fight-night,UFC Fight Night: Blanchfield vs. Fiorot,"Saturday, March 30,  7:00 PM ET",Boardwalk Hall,"Atlantic City, NJ"
https://www.tapology.com/fightcenter/events/108462-ufc-fight-night,UFC Fight Night: Ribas vs. Namajunas,"Saturday, March 23,  7:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/108288-ufc-fight-night,UFC Fight Night: Tuivasa vs. Tybura,"Saturday, March 16,  4:00 PM ET",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/107061-ufc-299,UFC 299: O'Malley vs. Vera 2,"Saturday, March 09,  6:00 PM ET",Kaseya Center,"Miami, FL"
https://www.tapology.com/fightcenter/events/106064-ufc-fight-night,UFC Fight Night: Rozenstruik vs. Gaziev,"Saturday, March 02,  1:30 PM ET",UFC Apex,"Las Vegas, NV"
